Country,Reference,Date.Until,Updated.Numbers.Provided,Total.Confirmed.Cases,Total.Male.Cases,Cases.M.,Total.Female.Cases,Cases.F.,Total.ITU.Admissions,Total.Male.ITU,ITU.M.,Total.Female.ITU,ITU.F.,Total.Deaths,Total.Male.Deaths,Deaths.M.,Total.Female.Deaths,Deaths.F.,Source.Link,Notes
Australia,7,21/05/2020,yes,7087,3598,NA,3489,NA,NA,NA,NA,NA,NA,100,56,NA,44,NA,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert/coronavirus-covid-19-current-situation-and-case-numbers#total-cases-recoveries-and-deaths,
Belgium,8,22/05/2020,yes,56511,20683,NA,35598,NA,NA,NA,NA,NA,NA,9212,3318,NA,3234,NA,https://epistat.wiv-isp.be/Covid/covid-19.html,2660 deaths unknown sex
China,9,11/02/2020,no,44672,22981,NA,21691,NA,NA,NA,NA,NA,NA,1023,653,63.8,370,36.2,http://weekly.chinacdc.cn/en/article/id/e53946e2-c6c4-41e9-9a9b-fea8db1a8f51,
China,10,24/02/2020,no,52,35,NA,17,NA,52,35,NA,17,NA,32,21,NA,11,NA,Source (6) original manuscript ref,
China,11,07/02/2020,no,138,75,NA,63,NA,36,22,NA,14,NA,6,NA,NA,NA,NA,Source (8) original manuscript ref,
Denmark,12,19/05/2020,yes,11044,4672,42,6372,58,334,243,NA,91,NA,551,314,NA,237,NA,https://files.ssi.dk/COVID19-overvaagningsrapport-19052020-d2l8,Unclear if ITU data is only current for date of report or accumulative?
France,13,23/03/2020,no,6378,2998,47,3380,53,285,190,67,95,33,161,94,NA,67,NA,https://www.santepubliquefrance.fr/maladies-et-traumatismes/maladies-et-infections-respiratoires/infection-a-coronavirus/documents/bulletin-national/covid-19-point-epidemiologique-du-21-mai-2020,Updated numbers found by HP on 18/5/2020 but these did not include total cases or cases by sex so data from March used instead
Germany,14,21/05/2020,yes,176752,NA,48,NA,52,NA,NA,NA,NA,NA,8147,4515,55,3627,45,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/2020-05-21-en.pdf?__blob=publicationFile,"Source numbers for deaths do not add up, 5 deaths are unaccounted for in the given total, so HP marking as unknown"
Iran,15,15/03/2020,no,14991,8545,NA,6446,NA,NA,NA,NA,NA,NA,853,503,NA,350,NA,https://blogs.bmj.com/bmjgh/2020/03/24/sex-gender-and-covid-19-disaggregated-data-and-health-disparities/ ,
Italy,16,14/05/2020,yes,222074,102628,46.3,119267,53.7,NA,NA,NA,NA,NA,29692,17877,NA,11815,NA,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-maggio-2020.pdf,179 cases unknown sex
Netherlands,17,26/05/2020,yes,45578,16755,36.8,28733,63,NA,NA,NA,NA,NA,5856,3240,55.3,2616,44.7,https://www.rivm.nl/coronavirus-covid-19/grafieken,90 cases unknown sex
Norway,18,25/05/2020,yes,8352,4151,NA,4201,NA,NA,NA,NA,NA,NA,235,128,NA,107,NA,https://www.fhi.no/contentassets/ca5914bd0aa14e15a17f8a7d48fa306a/2020.05.25-dagsrapport-norge-covid-19.pdf,
Portugal,19,25/05/2020,yes,30788,12975,NA,17813,NA,NA,NA,NA,NA,NA,1330,649,NA,681,NA,https://covid19.min-saude.pt/wp-content/uploads/2020/05/84_DGS_boletim_202005251.pdf,
South Korea,20,26/05/2020,yes,11225,4664,41.5,6561,58.45,NA,NA,NA,NA,NA,267,142,52.79,127,47.21,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030,
Spain,21,22/05/2020,yes,248953,106970,NA,141983,NA,7701,5358,NA,2343,NA,20536,11608,NA,8928,NA,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_113_COVID-19.pdf,
