study,n.t,e.mi.t,e.death.t,n.c,e.mi.c,e.death.c,control,phase,duration
49653/011,357,2,1,176,0,0,Placebo,3,24
49653/020,391,2,0,207,1,0,Glyburide,3,52
49653/024,774,1,0,185,1,0,Placebo,3,26
49653/093,213,0,0,109,1,0,Metformin,3,26
49653/094,232,1,1,116,0,0,Metformin,3,26
100684/1,43,0,0,47,1,0,Glyburide,4,52
49653/143,121,1,0,124,0,0,Glyburide,4,24
49653/211,110,5,3,114,2,2,Usual care,4,52
49653/284,382,1,0,384,0,0,Metformin,4,24
712753/008,284,1,0,135,0,0,Metformin,4,48
AVM100264,294,0,2,302,1,1,Metformin and sulfonylurea,4,52
BRL49653C/185,563,2,0,142,0,0,Usual care with or without metformin,4,32
BRL49653C/334,278,2,0,279,1,1,Placebo,4,52
BRL49653/347,418,2,0,212,0,0,Insulin,4,24
49653/015,395,2,2,198,1,0,Sulfonylurea,3,24
49653/079,203,1,1,106,1,1,Glyburide,3,26
49653/080,104,1,0,99,2,0,Glyburide,3,156
49653/082,212,2,1,107,0,0,Insulin,3,26
49653/085,138,3,1,139,1,0,Insulin,3,26
49653/095,196,0,1,96,0,0,Insulin,3,26
49653/097,122,0,0,120,1,0,Glyburide,3,156
49653/125,175,0,0,173,1,0,Sulfonylurea,3,26
49653/127,56,1,0,58,0,0,Glyburide,3,26
49653/128,39,1,0,38,0,0,Placebo,3,28
49653/134,561,0,1,276,2,0,Placebo,3,28
49653/135,116,2,2,111,3,1,Glipizide,3,104
49653/136,148,1,2,143,0,0,Placebo,3,26
49653/145,231,1,1,242,0,0,Gliclazide,3,26
49653/147,89,1,0,88,0,0,Sulfonylurea,3,26
49653/162,168,1,1,172,0,0,Glyburide,3,26
49653/234,116,0,0,61,0,0,Glimepiride,3,26
49653/330,1172,1,1,377,0,0,Placebo,3,52
49653/331,706,0,1,325,0,0,Placebo,3,52
49653/137,204,1,0,185,2,1,Glyburide and metformin,3,32
SB-712753/002,288,1,1,280,0,0,Metformin,3,24
SB-712753/003,254,1,0,272,0,0,Metformin,3,32
SB-712753/007,314,1,0,154,0,0,Metformin,3,32
SB-712753/009,162,0,0,160,0,0,Insulin,3,24
49653/132,442,1,1,112,0,0,Sulfonylurea,2,24
AVA100193,394,1,1,124,0,0,Placebo,2,24
DREAM,2635,15,12,2634,9,10,Placebo,3,156
ADOPT,1456,27,2,2895,41,5,Metformin or glyburide,3,208
dz1,101,0,0,51,0,0,c1,NA,NA
dz2,232,0,0,115,0,0,c2,NA,NA
dz3,70,0,0,75,0,0,c3,NA,NA
dz4,25,0,0,24,0,0,c4,NA,NA
dz5,196,0,0,195,0,0,c5,NA,NA
dz6,676,0,0,225,0,0, c6,NA,NA
